claim_id	stage_id	claim_type	claim	evidence_locator	repo_authority	paper_authority	evidence_status
claim.fastq.deplete_reference_contaminants.database	fastq.deplete_reference_contaminants	database_provenance_requirement	Reference contaminant depletion requires locked contaminant bundle identity, index digest, and backend policy before outputs can be compared.	domain/fastq/stages/deplete_reference_contaminants.yaml;configs/runtime/asset_locks.toml	domain/fastq/tools/bowtie2.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.deplete_rrna.database	fastq.deplete_rrna	database_provenance_requirement	rRNA depletion is comparable only when source sequence collection, index digest, and SortMeRNA policy are locked.	domain/fastq/stages/deplete_rrna.yaml;configs/runtime/asset_locks.toml	domain/fastq/tools/sortmerna.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.screen_taxonomy.database	fastq.screen_taxonomy	database_provenance_requirement	Taxonomic screening is a database-bound classifier report; scientific interpretation requires locked database sources, taxonomy dump, build command, and classifier policy.	domain/fastq/stages/screen_taxonomy.yaml;configs/runtime/asset_locks.toml	domain/fastq/tools/kraken2.yaml;domain/fastq/tools/krakenuniq.yaml;domain/fastq/tools/centrifuge.yaml;domain/fastq/tools/kaiju.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.profile_reads.workflow_policy	fastq.profile_reads	workflow_policy	Read profiling is observational and must not mutate FASTQ payloads.	domain/fastq/stages/profile_reads.yaml	domain/fastq/tools/seqkit_stats.yaml;domain/fastq/tools/prinseq.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.profile_read_lengths.empirical	fastq.profile_read_lengths	empirical_claim	Read-length profiles are descriptive summaries and must be linked to exact input hashes and histogram policy.	domain/fastq/stages/profile_read_lengths.yaml	domain/fastq/tools/seqkit_stats.yaml;domain/fastq/tools/fastqc.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.profile_overrepresented_sequences.empirical	fastq.profile_overrepresented_sequences	empirical_claim	Overrepresented-sequence profiling reports sequence enrichment signals and must not be treated as adapter or contaminant removal.	domain/fastq/stages/profile_overrepresented_sequences.yaml	domain/fastq/tools/fastqc.yaml;domain/fastq/tools/fastq_scan.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.trim_polyg_tails.workflow_policy	fastq.trim_polyg_tails	stage_order_justification	PolyG/PolyX tail trimming is platform- and motif-policy dependent and must not run by default for libraries without supporting instrument evidence.	domain/fastq/stages/trim_polyg_tails.yaml;configs/runtime/asset_locks.toml	domain/fastq/tools/fastp.yaml;domain/fastq/tools/bbduk.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.trim_terminal_damage.workflow_policy	fastq.trim_terminal_damage	stage_order_justification	Terminal-damage trimming is route-family-specific and must be restricted to ancient-DNA or explicit damage-aware plans.	domain/fastq/stages/trim_terminal_damage.yaml	domain/fastq/tools/cutadapt.yaml;domain/fastq/tools/adapterremoval.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.normalize_primers.workflow_policy	fastq.normalize_primers	stage_order_justification	Primer normalization is amplicon-assay specific and requires locked primer bank, orientation policy, and mismatch policy.	domain/fastq/stages/normalize_primers.yaml;configs/runtime/asset_locks.toml	domain/fastq/tools/cutadapt.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.remove_chimeras.comparability	fastq.remove_chimeras	benchmark_fairness_assumption	Chimera removal is benchmark-comparable only within the same amplicon assay, denoising context, reference policy, and chimera-detection backend.	domain/fastq/stages/remove_chimeras.yaml	domain/fastq/tools/vsearch.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.index_reference.database	fastq.index_reference	database_provenance_requirement	Reference indexing is comparable only when source reference, index backend, backend version, and emitted index digest are fixed.	domain/fastq/stages/index_reference.yaml;configs/runtime/reference_bank.toml	domain/fastq/tools/bowtie2_build.yaml;domain/fastq/tools/star.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.infer_asvs.comparability	fastq.infer_asvs	benchmark_fairness_assumption	ASV inference is comparable only within fixed amplicon assay, denoising method, pooling policy, and chimera policy.	domain/fastq/stages/infer_asvs.yaml	domain/fastq/tools/dada2.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.cluster_otus.comparability	fastq.cluster_otus	comparability_boundary	OTU clustering is not equivalent to ASV inference and requires fixed identity threshold, representative policy, and clustering backend.	domain/fastq/stages/cluster_otus.yaml	domain/fastq/tools/vsearch.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.normalize_abundance.comparability	fastq.normalize_abundance	comparability_boundary	Abundance normalization changes table scale and must publish method identity before downstream comparison.	domain/fastq/stages/normalize_abundance.yaml	domain/fastq/tools/seqkit.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.report_qc.workflow_policy	fastq.report_qc	workflow_policy	QC reporting aggregates governed reports and must preserve source report checksums rather than becoming the sole evidence surface.	domain/fastq/stages/report_qc.yaml	domain/fastq/tools/multiqc.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.build_taxonomy_db.database	fastq.build_taxonomy_db	database_provenance_requirement	Taxonomy database builds require locked source libraries, taxonomy dump, build command, and emitted database digest.	domain/fastq/stages/build_taxonomy_db.yaml;configs/runtime/asset_locks.toml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.build_rrna_db.database	fastq.build_rrna_db	database_provenance_requirement	rRNA database builds require locked source sequence collection, build command, and emitted index digest.	domain/fastq/stages/build_rrna_db.yaml;configs/runtime/asset_locks.toml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.build_contaminant_db.database	fastq.build_contaminant_db	database_provenance_requirement	Contaminant database builds require locked contaminant source bundle, build command, backend version, and emitted index digest.	domain/fastq/stages/build_contaminant_db.yaml;configs/runtime/asset_locks.toml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.prepare_host_reference_bundle.database	fastq.prepare_host_reference_bundle	database_provenance_requirement	Host reference bundles require source reference identity, alias policy, index compatibility, and bundle digest before host-depletion use.	domain/fastq/stages/prepare_host_reference_bundle.yaml;configs/runtime/asset_locks.toml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.prepare_adapter_bank.database	fastq.prepare_adapter_bank	database_provenance_requirement	Adapter-bank preparation requires locked sequence records, orientation policy, source authority, and record digest.	domain/fastq/stages/prepare_adapter_bank.yaml;configs/runtime/asset_locks.toml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.prepare_primer_bank.database	fastq.prepare_primer_bank	database_provenance_requirement	Primer-bank preparation requires assay family, primer records, orientation policy, mismatch policy, and record digest.	domain/fastq/stages/prepare_primer_bank.yaml;configs/runtime/asset_locks.toml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.repair_pairs.workflow_policy	fastq.repair_pairs	input_layout_restriction	Pair repair changes read ordering and must publish orphan accounting before pair-sensitive stages.	domain/fastq/stages/repair_pairs.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.concatenate_lanes.workflow_policy	fastq.concatenate_lanes	stage_order_justification	Lane concatenation must occur before sample-level preprocessing and requires stable lane ordering and sample identity preservation.	domain/fastq/stages/concatenate_lanes.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.demultiplex_reads.workflow_policy	fastq.demultiplex_reads	input_layout_restriction	Demultiplexing requires locked barcode manifests and mismatch policy before sample-level FASTQ claims can be made.	domain/fastq/stages/demultiplex_reads.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.subsample_reads.benchmark	fastq.subsample_reads	benchmark_fairness_assumption	Subsampling is benchmark-comparable only when seed, fraction or target count, and input checksums are fixed.	domain/fastq/stages/subsample_reads.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.interleave_reads.workflow_policy	fastq.interleave_reads	input_layout_restriction	Interleaving is layout-only and must preserve pair identity and pair order.	domain/fastq/stages/interleave_reads.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.deinterleave_reads.workflow_policy	fastq.deinterleave_reads	input_layout_restriction	Deinterleaving is layout-only and must preserve pair identity and pair order.	domain/fastq/stages/deinterleave_reads.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.normalize_read_names.workflow_policy	fastq.normalize_read_names	comparability_boundary	Read-name normalization is unsafe for provenance-sensitive workflows unless original headers remain recoverable.	domain/fastq/stages/normalize_read_names.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.classify_layout.workflow_policy	fastq.classify_layout	input_layout_restriction	Layout classification must distinguish paired, single-end, interleaved, and premerged inputs before route safety rules are applied.	domain/fastq/stages/classify_layout.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.detect_instrument_artifacts.workflow_policy	fastq.detect_instrument_artifacts	workflow_policy	Instrument-artifact detection is report-only unless a governed route consumes the artifact class.	domain/fastq/stages/detect_instrument_artifacts.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.estimate_library_complexity_prealign.empirical	fastq.estimate_library_complexity_prealign	empirical_claim	Prealignment complexity estimates are exploratory unless benchmarked against aligned duplicate metrics.	domain/fastq/stages/estimate_library_complexity_prealign.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.detect_duplicates_premerge.comparability	fastq.detect_duplicates_premerge	non_equivalence_to_neighboring_stage	Premerge duplicate signals are not equivalent to aligned duplicate marking and must remain report-only until route evidence exists.	domain/fastq/stages/detect_duplicates_premerge.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.materialize_qc_manifest.workflow_policy	fastq.materialize_qc_manifest	workflow_policy	QC manifest materialization binds report checksums, input hashes, tool identities, and asset identities before aggregation.	domain/fastq/stages/materialize_qc_manifest.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.verify_assets.workflow_policy	fastq.verify_assets	workflow_policy	Asset verification must fail closed for world-class-closed plans when any declared asset lock is missing or mismatched.	domain/fastq/stages/verify_assets.yaml;configs/runtime/asset_locks.toml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.capture_provenance_snapshot.workflow_policy	fastq.capture_provenance_snapshot	workflow_policy	Plan certification requires a provenance snapshot binding stage graph, inputs, tools, containers, runtime assets, and checksums.	domain/fastq/stages/capture_provenance_snapshot.yaml	none	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
