stage_id	tool_id	decision_mode	correctness_signal	result_ids	report_row_ids	corpus_ids	report_sections	row_statuses	score_status	truth_correctness_score	truth_correctness_basis	contract_correctness_score	contract_correctness_basis	retained_reads	dropped_reads	runtime_seconds	runtime_source	observed_memory_mb	declared_memory_mb	memory_source	failure_class	micro_execution_status	score_weight_coverage	score_total	evidence_paths	reason
fastq.estimate_library_complexity_prealign	bijux_dna	single_tool_acceptance	output_contract	fastq:corpus-01-mini:fastq.estimate_library_complexity_prealign:sample-set:bijux_dna	fastq:corpus-01-mini:fastq.estimate_library_complexity_prealign:sample-set:bijux_dna	corpus-01-mini	quality_profiling	present	scored			1.000000	complexity smoke report emits governed estimated- and insufficient-data counts				not_available		1024.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.estimate_library_complexity_prealign/complexity.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
fastq.extract_umis	umi_tools	single_tool_acceptance	output_contract	fastq:corpus-01-mini:fastq.extract_umis:sample-set:umi_tools	fastq:corpus-01-mini:fastq.extract_umis:sample-set:umi_tools	corpus-01-mini	read_cleanup	present	scored			1.000000	UMI extraction summary and governed report artifacts materialized				not_available			not_available	none		0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.extract_umis/report.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
fastq.filter_low_complexity	bbduk	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.filter_low_complexity:sample-set:bbduk	fastq:corpus-01-mini:fastq.filter_low_complexity:sample-set:bbduk	corpus-01-mini	read_cleanup	present	scored	0.666667	retained_fraction	1.000000	report low-complexity removal without inflating the read count	2	1		not_available		8192.000000	declared_stage_tool_resource	none	succeeded	0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.filter_low_complexity/report.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
fastq.filter_low_complexity	fastp	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.filter_low_complexity:sample-set:fastp	fastq:corpus-01-mini:fastq.filter_low_complexity:sample-set:fastp	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.filter_low_complexity` / `fastp`
fastq.filter_low_complexity	prinseq	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.filter_low_complexity:sample-set:prinseq	fastq:corpus-01-mini:fastq.filter_low_complexity:sample-set:prinseq	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.filter_low_complexity` / `prinseq`
fastq.filter_reads	bbduk	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.filter_reads:sample-set:bbduk	fastq:corpus-01-mini:fastq.filter_reads:sample-set:bbduk	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.filter_reads` / `bbduk`
fastq.filter_reads	fastp	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.filter_reads:sample-set:fastp	fastq:corpus-01-mini:fastq.filter_reads:sample-set:fastp	corpus-01-mini	read_cleanup	present	scored	0.333333	retained_fraction	1.000000	report retained reads and dropped reads without violating input bounds	1	2		not_available			evidence_report	none	succeeded	0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.filter_reads/report.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `evidence_report`
fastq.filter_reads	prinseq	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.filter_reads:sample-set:prinseq	fastq:corpus-01-mini:fastq.filter_reads:sample-set:prinseq	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.filter_reads` / `prinseq`
fastq.filter_reads	seqkit	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.filter_reads:sample-set:seqkit	fastq:corpus-01-mini:fastq.filter_reads:sample-set:seqkit	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.filter_reads` / `seqkit`
fastq.index_reference	bowtie2_build	multi_tool_ranking	scientific_comparable_metrics	fastq:reference-index-assets:fastq.index_reference:asset-set:bowtie2_build	fastq:reference-index-assets:fastq.index_reference:asset-set:bowtie2_build	reference-index-assets	reference_preparation	present	insufficient_evidence								not_applicable			not_applicable	insufficient_data	container_needed	0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.index_reference` / `bowtie2_build`
fastq.index_reference	star	multi_tool_ranking	scientific_comparable_metrics	fastq:reference-index-assets:fastq.index_reference:asset-set:star	fastq:reference-index-assets:fastq.index_reference:asset-set:star	reference-index-assets	reference_preparation	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.index_reference` / `star`
fastq.infer_asvs	dada2	single_tool_acceptance	output_contract	fastq:corpus-03-amplicon-mini:fastq.infer_asvs:sample-set:dada2	fastq:corpus-03-amplicon-mini:fastq.infer_asvs:sample-set:dada2	corpus-03-amplicon-mini	amplicon_interpretation	present	scored			1.000000	ASV inference report materialized representatives and abundance outputs				not_available		16384.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.infer_asvs/report.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
fastq.merge_pairs	adapterremoval	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.merge_pairs:sample-set:adapterremoval	fastq:corpus-01-mini:fastq.merge_pairs:sample-set:adapterremoval	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.merge_pairs` / `adapterremoval`
fastq.merge_pairs	bbmerge	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.merge_pairs:sample-set:bbmerge	fastq:corpus-01-mini:fastq.merge_pairs:sample-set:bbmerge	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.merge_pairs` / `bbmerge`
fastq.merge_pairs	flash2	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.merge_pairs:sample-set:flash2	fastq:corpus-01-mini:fastq.merge_pairs:sample-set:flash2	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.merge_pairs` / `flash2`
fastq.merge_pairs	leehom	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.merge_pairs:sample-set:leehom	fastq:corpus-01-mini:fastq.merge_pairs:sample-set:leehom	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.merge_pairs` / `leehom`
fastq.merge_pairs	pear	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.merge_pairs:sample-set:pear	fastq:corpus-01-mini:fastq.merge_pairs:sample-set:pear	corpus-01-mini	read_cleanup	present	scored	0.750000	retained_fraction	1.000000	merge report preserves merged, unmerged, and discarded counts	3	0		not_available		8192.000000	declared_stage_tool_resource	none	succeeded	0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.merge_pairs/report.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
fastq.merge_pairs	vsearch	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.merge_pairs:sample-set:vsearch	fastq:corpus-01-mini:fastq.merge_pairs:sample-set:vsearch	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.merge_pairs` / `vsearch`
fastq.normalize_abundance	seqkit	single_tool_acceptance	output_contract	fastq:corpus-03-amplicon-mini:fastq.normalize_abundance:sample-set:seqkit	fastq:corpus-03-amplicon-mini:fastq.normalize_abundance:sample-set:seqkit	corpus-03-amplicon-mini	amplicon_interpretation	present	scored			1.000000	normalized abundance table materialized and retained numeric validity				not_available		4096.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.normalize_abundance/report.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
fastq.normalize_primers	cutadapt	single_tool_acceptance	output_contract	fastq:corpus-03-amplicon-mini:fastq.normalize_primers:sample-set:cutadapt	fastq:corpus-03-amplicon-mini:fastq.normalize_primers:sample-set:cutadapt	corpus-03-amplicon-mini	amplicon_interpretation	present	scored	1.000000	retained_fraction	1.000000	normalize_primers smoke cases preserve the governed output-count surface	7	0		not_available		8192.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.normalize_primers/report.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
fastq.profile_overrepresented_sequences	fastq_scan	multi_tool_ranking	scientific_comparable_metrics	fastq:corpus-01-mini:fastq.profile_overrepresented_sequences:sample-set:fastq_scan	fastq:corpus-01-mini:fastq.profile_overrepresented_sequences:sample-set:fastq_scan	corpus-01-mini	quality_profiling	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.profile_overrepresented_sequences` / `fastq_scan`
fastq.profile_overrepresented_sequences	fastqc	multi_tool_ranking	scientific_comparable_metrics	fastq:corpus-01-mini:fastq.profile_overrepresented_sequences:sample-set:fastqc	fastq:corpus-01-mini:fastq.profile_overrepresented_sequences:sample-set:fastqc	corpus-01-mini	quality_profiling	present	insufficient_evidence								not_available		8192.000000	declared_stage_tool_resource	insufficient_data	succeeded	0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.profile_overrepresented_sequences` / `fastqc`
fastq.profile_overrepresented_sequences	seqkit	multi_tool_ranking	scientific_comparable_metrics	fastq:corpus-01-mini:fastq.profile_overrepresented_sequences:sample-set:seqkit	fastq:corpus-01-mini:fastq.profile_overrepresented_sequences:sample-set:seqkit	corpus-01-mini	quality_profiling	present	scored	0.600000	top_fraction	1.000000	surface publishes governed comparable metrics for overrepresented sequences				not_available			not_available	none		0.750000	0.680000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.profile_overrepresented_sequences/report.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
fastq.profile_read_lengths	fastp	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.profile_read_lengths:sample-set:fastp	fastq:corpus-01-mini:fastq.profile_read_lengths:sample-set:fastp	corpus-01-mini	quality_profiling	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.profile_read_lengths` / `fastp`
fastq.profile_read_lengths	prinseq	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.profile_read_lengths:sample-set:prinseq	fastq:corpus-01-mini:fastq.profile_read_lengths:sample-set:prinseq	corpus-01-mini	quality_profiling	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.profile_read_lengths` / `prinseq`
fastq.profile_read_lengths	seqfu	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.profile_read_lengths:sample-set:seqfu	fastq:corpus-01-mini:fastq.profile_read_lengths:sample-set:seqfu	corpus-01-mini	quality_profiling	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.profile_read_lengths` / `seqfu`
fastq.profile_read_lengths	seqkit_stats	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.profile_read_lengths:sample-set:seqkit_stats	fastq:corpus-01-mini:fastq.profile_read_lengths:sample-set:seqkit_stats	corpus-01-mini	quality_profiling	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.profile_read_lengths` / `seqkit_stats`
fastq.profile_reads	seqfu	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.profile_reads:sample-set:seqfu	fastq:corpus-01-mini:fastq.profile_reads:sample-set:seqfu	corpus-01-mini	quality_profiling	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.profile_reads` / `seqfu`
fastq.profile_reads	seqkit	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.profile_reads:sample-set:seqkit	fastq:corpus-01-mini:fastq.profile_reads:sample-set:seqkit	corpus-01-mini	quality_profiling	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.profile_reads` / `seqkit`
fastq.profile_reads	seqkit_stats	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.profile_reads:sample-set:seqkit_stats	fastq:corpus-01-mini:fastq.profile_reads:sample-set:seqkit_stats	corpus-01-mini	quality_profiling	present	scored			1.000000	profile report emits governed read-count and aggregate QC metrics	6	0		not_available		2048.000000	declared_stage_tool_resource	none	succeeded	0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.profile_reads/profile.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
fastq.remove_chimeras	vsearch	single_tool_acceptance	output_contract	fastq:corpus-03-amplicon-mini:fastq.remove_chimeras:sample-set:vsearch	fastq:corpus-03-amplicon-mini:fastq.remove_chimeras:sample-set:vsearch	corpus-03-amplicon-mini	amplicon_interpretation	present	scored			1.000000	chimera summary emits governed non-chimeric and chimera artifact paths				not_available		8192.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.remove_chimeras/report.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
fastq.remove_duplicates	clumpify	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.remove_duplicates:sample-set:clumpify	fastq:corpus-01-mini:fastq.remove_duplicates:sample-set:clumpify	corpus-01-mini	read_cleanup	present	scored	0.666667	retained_fraction	1.000000	duplicate removal preserves the governed post-dedup read count surface	4	2		not_available			evidence_report	none	succeeded	0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.remove_duplicates/report.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `evidence_report`
fastq.remove_duplicates	fastuniq	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.remove_duplicates:sample-set:fastuniq	fastq:corpus-01-mini:fastq.remove_duplicates:sample-set:fastuniq	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.remove_duplicates` / `fastuniq`
fastq.report_qc	multiqc	single_tool_acceptance	output_contract	fastq:corpus-01-mini:fastq.report_qc:sample-set:multiqc	fastq:corpus-01-mini:fastq.report_qc:sample-set:multiqc	corpus-01-mini	quality_profiling	present	insufficient_evidence								not_available		4096.000000	declared_stage_tool_resource	insufficient_data	succeeded	0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.report_qc` / `multiqc`
fastq.screen_taxonomy	centrifuge	multi_tool_ranking	output_contract	fastq:corpus-02-edna-mini:fastq.screen_taxonomy:sample-set:centrifuge	fastq:corpus-02-edna-mini:fastq.screen_taxonomy:sample-set:centrifuge	corpus-02-edna-mini	contamination_screening	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.screen_taxonomy` / `centrifuge`
fastq.screen_taxonomy	kaiju	multi_tool_ranking	output_contract	fastq:corpus-02-edna-mini:fastq.screen_taxonomy:sample-set:kaiju	fastq:corpus-02-edna-mini:fastq.screen_taxonomy:sample-set:kaiju	corpus-02-edna-mini	contamination_screening	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.screen_taxonomy` / `kaiju`
fastq.screen_taxonomy	kraken2	multi_tool_ranking	output_contract	fastq:corpus-02-edna-mini:fastq.screen_taxonomy:sample-set:kraken2	fastq:corpus-02-edna-mini:fastq.screen_taxonomy:sample-set:kraken2	corpus-02-edna-mini	contamination_screening	present	scored	1.000000	classified_fraction	1.000000	taxonomy screen report materialized the governed classified and unclassified surfaces	4	0		not_available		16384.000000	declared_stage_tool_resource	none	succeeded	0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/micro/pipelines/edna/artifacts/fastq.screen_taxonomy/report.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
fastq.screen_taxonomy	krakenuniq	multi_tool_ranking	output_contract	fastq:corpus-02-edna-mini:fastq.screen_taxonomy:sample-set:krakenuniq	fastq:corpus-02-edna-mini:fastq.screen_taxonomy:sample-set:krakenuniq	corpus-02-edna-mini	contamination_screening	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.screen_taxonomy` / `krakenuniq`
fastq.trim_polyg_tails	bbduk	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.trim_polyg_tails:sample-set:bbduk	fastq:corpus-01-mini:fastq.trim_polyg_tails:sample-set:bbduk	corpus-01-mini	read_cleanup	present	scored	1.000000	retained_fraction	1.000000	trim_polyg_tails smoke cases preserve the governed output-count surface	7	0		not_available			not_available	none		0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.trim_polyg_tails/metrics.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
fastq.trim_polyg_tails	fastp	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.trim_polyg_tails:sample-set:fastp	fastq:corpus-01-mini:fastq.trim_polyg_tails:sample-set:fastp	corpus-01-mini	read_cleanup	present	scored	1.000000	retained_fraction	1.000000	trim_polyg_tails smoke cases preserve the governed output-count surface	7	0		not_available			not_available	none		0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.trim_polyg_tails/metrics.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
fastq.trim_reads	adapterremoval	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.trim_reads:sample-set:adapterremoval	fastq:corpus-01-mini:fastq.trim_reads:sample-set:adapterremoval	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.trim_reads` / `adapterremoval`
fastq.trim_reads	alientrimmer	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.trim_reads:sample-set:alientrimmer	fastq:corpus-01-mini:fastq.trim_reads:sample-set:alientrimmer	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.trim_reads` / `alientrimmer`
fastq.trim_reads	atropos	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.trim_reads:sample-set:atropos	fastq:corpus-01-mini:fastq.trim_reads:sample-set:atropos	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.trim_reads` / `atropos`
fastq.trim_reads	bbduk	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.trim_reads:sample-set:bbduk	fastq:corpus-01-mini:fastq.trim_reads:sample-set:bbduk	corpus-01-mini	read_cleanup	present	scored	1.000000	retained_fraction	1.000000	trim_reads smoke cases preserve the governed output-count surface	2	0		not_available			not_available	none		0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.trim_reads/report.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
fastq.trim_reads	cutadapt	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.trim_reads:sample-set:cutadapt	fastq:corpus-01-mini:fastq.trim_reads:sample-set:cutadapt	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.trim_reads` / `cutadapt`
