stage_id	tool_id	blocker	release_action	closure_effect	evidence_locator	owner	status
fastq.capture_provenance_snapshot	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.capture_provenance_snapshot until missing_runtime_surface is resolved	domain/fastq/stages/capture_provenance_snapshot.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.capture_provenance_snapshot	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.capture_provenance_snapshot until registry_not_production is resolved	domain/fastq/stages/capture_provenance_snapshot.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.classify_layout	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.classify_layout until missing_container_ref is resolved	domain/fastq/stages/classify_layout.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.classify_layout	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.classify_layout until missing_runtime_surface is resolved	domain/fastq/stages/classify_layout.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.classify_layout	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.classify_layout until registry_not_production is resolved	domain/fastq/stages/classify_layout.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.concatenate_lanes	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.concatenate_lanes until missing_container_ref is resolved	domain/fastq/stages/concatenate_lanes.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.concatenate_lanes	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.concatenate_lanes until missing_runtime_surface is resolved	domain/fastq/stages/concatenate_lanes.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.concatenate_lanes	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.concatenate_lanes until registry_not_production is resolved	domain/fastq/stages/concatenate_lanes.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.deinterleave_reads	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.deinterleave_reads until missing_container_ref is resolved	domain/fastq/stages/deinterleave_reads.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.deinterleave_reads	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.deinterleave_reads until missing_runtime_surface is resolved	domain/fastq/stages/deinterleave_reads.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.deinterleave_reads	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.deinterleave_reads until registry_not_production is resolved	domain/fastq/stages/deinterleave_reads.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.demultiplex_reads	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.demultiplex_reads until missing_container_ref is resolved	domain/fastq/stages/demultiplex_reads.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.demultiplex_reads	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.demultiplex_reads until missing_runtime_surface is resolved	domain/fastq/stages/demultiplex_reads.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.demultiplex_reads	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.demultiplex_reads until registry_not_production is resolved	domain/fastq/stages/demultiplex_reads.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.detect_duplicates_premerge	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.detect_duplicates_premerge until missing_container_ref is resolved	domain/fastq/stages/detect_duplicates_premerge.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.detect_duplicates_premerge	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.detect_duplicates_premerge until missing_runtime_surface is resolved	domain/fastq/stages/detect_duplicates_premerge.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.detect_duplicates_premerge	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.detect_duplicates_premerge until registry_not_production is resolved	domain/fastq/stages/detect_duplicates_premerge.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.detect_instrument_artifacts	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.detect_instrument_artifacts until missing_container_ref is resolved	domain/fastq/stages/detect_instrument_artifacts.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.detect_instrument_artifacts	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.detect_instrument_artifacts until missing_runtime_surface is resolved	domain/fastq/stages/detect_instrument_artifacts.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.detect_instrument_artifacts	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.detect_instrument_artifacts until registry_not_production is resolved	domain/fastq/stages/detect_instrument_artifacts.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.estimate_library_complexity_prealign	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.estimate_library_complexity_prealign until missing_container_ref is resolved	domain/fastq/stages/estimate_library_complexity_prealign.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.estimate_library_complexity_prealign	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.estimate_library_complexity_prealign until missing_runtime_surface is resolved	domain/fastq/stages/estimate_library_complexity_prealign.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.estimate_library_complexity_prealign	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.estimate_library_complexity_prealign until registry_not_production is resolved	domain/fastq/stages/estimate_library_complexity_prealign.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.filter_low_complexity	dustmasker	missing_container_ref	publish immutable container reference for planned runtime binding	dustmasker cannot be treated as world-class closed for fastq.filter_low_complexity until missing_container_ref is resolved	domain/fastq/stages/filter_low_complexity.yaml;domain/fastq/tools/dustmasker.yaml	bijux-runtime	tracked
fastq.filter_low_complexity	dustmasker	missing_runtime_surface	add production runtime smoke surface for planned binding	dustmasker cannot be treated as world-class closed for fastq.filter_low_complexity until missing_runtime_surface is resolved	domain/fastq/stages/filter_low_complexity.yaml;domain/fastq/tools/dustmasker.yaml	bijux-runtime	tracked
fastq.filter_low_complexity	dustmasker	registry_not_production	promote planned binding only after runtime closure is available	dustmasker cannot be treated as world-class closed for fastq.filter_low_complexity until registry_not_production is resolved	domain/fastq/stages/filter_low_complexity.yaml;domain/fastq/tools/dustmasker.yaml	bijux-domain	tracked
fastq.interleave_reads	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.interleave_reads until missing_container_ref is resolved	domain/fastq/stages/interleave_reads.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.interleave_reads	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.interleave_reads until missing_runtime_surface is resolved	domain/fastq/stages/interleave_reads.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.interleave_reads	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.interleave_reads until registry_not_production is resolved	domain/fastq/stages/interleave_reads.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.materialize_qc_manifest	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.materialize_qc_manifest until missing_container_ref is resolved	domain/fastq/stages/materialize_qc_manifest.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.materialize_qc_manifest	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.materialize_qc_manifest until missing_runtime_surface is resolved	domain/fastq/stages/materialize_qc_manifest.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.materialize_qc_manifest	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.materialize_qc_manifest until registry_not_production is resolved	domain/fastq/stages/materialize_qc_manifest.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.normalize_read_names	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.normalize_read_names until missing_container_ref is resolved	domain/fastq/stages/normalize_read_names.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.normalize_read_names	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.normalize_read_names until missing_runtime_surface is resolved	domain/fastq/stages/normalize_read_names.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.normalize_read_names	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.normalize_read_names until registry_not_production is resolved	domain/fastq/stages/normalize_read_names.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.prepare_adapter_bank	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.prepare_adapter_bank until missing_container_ref is resolved	domain/fastq/stages/prepare_adapter_bank.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.prepare_adapter_bank	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.prepare_adapter_bank until missing_runtime_surface is resolved	domain/fastq/stages/prepare_adapter_bank.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.prepare_adapter_bank	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.prepare_adapter_bank until registry_not_production is resolved	domain/fastq/stages/prepare_adapter_bank.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.prepare_host_reference_bundle	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.prepare_host_reference_bundle until missing_container_ref is resolved	domain/fastq/stages/prepare_host_reference_bundle.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.prepare_host_reference_bundle	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.prepare_host_reference_bundle until missing_runtime_surface is resolved	domain/fastq/stages/prepare_host_reference_bundle.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.prepare_host_reference_bundle	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.prepare_host_reference_bundle until registry_not_production is resolved	domain/fastq/stages/prepare_host_reference_bundle.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.prepare_primer_bank	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.prepare_primer_bank until missing_container_ref is resolved	domain/fastq/stages/prepare_primer_bank.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.prepare_primer_bank	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.prepare_primer_bank until missing_runtime_surface is resolved	domain/fastq/stages/prepare_primer_bank.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.prepare_primer_bank	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.prepare_primer_bank until registry_not_production is resolved	domain/fastq/stages/prepare_primer_bank.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.profile_read_lengths	seqfu	missing_container_ref	publish immutable container reference for planned runtime binding	seqfu cannot be treated as world-class closed for fastq.profile_read_lengths until missing_container_ref is resolved	domain/fastq/stages/profile_read_lengths.yaml;domain/fastq/tools/seqfu.yaml	bijux-runtime	tracked
fastq.profile_read_lengths	seqfu	missing_runtime_surface	add production runtime smoke surface for planned binding	seqfu cannot be treated as world-class closed for fastq.profile_read_lengths until missing_runtime_surface is resolved	domain/fastq/stages/profile_read_lengths.yaml;domain/fastq/tools/seqfu.yaml	bijux-runtime	tracked
fastq.profile_read_lengths	seqfu	registry_not_production	promote planned binding only after runtime closure is available	seqfu cannot be treated as world-class closed for fastq.profile_read_lengths until registry_not_production is resolved	domain/fastq/stages/profile_read_lengths.yaml;domain/fastq/tools/seqfu.yaml	bijux-domain	tracked
fastq.profile_reads	seqfu	missing_container_ref	publish immutable container reference for planned runtime binding	seqfu cannot be treated as world-class closed for fastq.profile_reads until missing_container_ref is resolved	domain/fastq/stages/profile_reads.yaml;domain/fastq/tools/seqfu.yaml	bijux-runtime	tracked
fastq.profile_reads	seqfu	missing_runtime_surface	add production runtime smoke surface for planned binding	seqfu cannot be treated as world-class closed for fastq.profile_reads until missing_runtime_surface is resolved	domain/fastq/stages/profile_reads.yaml;domain/fastq/tools/seqfu.yaml	bijux-runtime	tracked
fastq.profile_reads	seqfu	registry_not_production	promote planned binding only after runtime closure is available	seqfu cannot be treated as world-class closed for fastq.profile_reads until registry_not_production is resolved	domain/fastq/stages/profile_reads.yaml;domain/fastq/tools/seqfu.yaml	bijux-domain	tracked
fastq.repair_pairs	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.repair_pairs until missing_container_ref is resolved	domain/fastq/stages/repair_pairs.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.repair_pairs	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.repair_pairs until missing_runtime_surface is resolved	domain/fastq/stages/repair_pairs.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.repair_pairs	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.repair_pairs until registry_not_production is resolved	domain/fastq/stages/repair_pairs.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.screen_taxonomy	diamond	missing_container_ref	publish immutable container reference for planned runtime binding	diamond cannot be treated as world-class closed for fastq.screen_taxonomy until missing_container_ref is resolved	domain/fastq/stages/screen_taxonomy.yaml;domain/fastq/tools/diamond.yaml	bijux-runtime	tracked
fastq.screen_taxonomy	diamond	missing_runtime_surface	add production runtime smoke surface for planned binding	diamond cannot be treated as world-class closed for fastq.screen_taxonomy until missing_runtime_surface is resolved	domain/fastq/stages/screen_taxonomy.yaml;domain/fastq/tools/diamond.yaml	bijux-runtime	tracked
fastq.screen_taxonomy	diamond	registry_not_production	promote planned binding only after runtime closure is available	diamond cannot be treated as world-class closed for fastq.screen_taxonomy until registry_not_production is resolved	domain/fastq/stages/screen_taxonomy.yaml;domain/fastq/tools/diamond.yaml	bijux-domain	tracked
fastq.subsample_reads	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.subsample_reads until missing_container_ref is resolved	domain/fastq/stages/subsample_reads.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.subsample_reads	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.subsample_reads until missing_runtime_surface is resolved	domain/fastq/stages/subsample_reads.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.subsample_reads	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.subsample_reads until registry_not_production is resolved	domain/fastq/stages/subsample_reads.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.trim_reads	seqpurge	missing_container_ref	publish immutable container reference for planned runtime binding	seqpurge cannot be treated as world-class closed for fastq.trim_reads until missing_container_ref is resolved	domain/fastq/stages/trim_reads.yaml;domain/fastq/tools/seqpurge.yaml	bijux-runtime	tracked
fastq.trim_reads	seqpurge	missing_runtime_surface	add production runtime smoke surface for planned binding	seqpurge cannot be treated as world-class closed for fastq.trim_reads until missing_runtime_surface is resolved	domain/fastq/stages/trim_reads.yaml;domain/fastq/tools/seqpurge.yaml	bijux-runtime	tracked
fastq.trim_reads	seqpurge	registry_not_production	promote planned binding only after runtime closure is available	seqpurge cannot be treated as world-class closed for fastq.trim_reads until registry_not_production is resolved	domain/fastq/stages/trim_reads.yaml;domain/fastq/tools/seqpurge.yaml	bijux-domain	tracked
fastq.verify_assets	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.verify_assets until missing_container_ref is resolved	domain/fastq/stages/verify_assets.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.verify_assets	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.verify_assets until missing_runtime_surface is resolved	domain/fastq/stages/verify_assets.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.verify_assets	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.verify_assets until registry_not_production is resolved	domain/fastq/stages/verify_assets.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
