tool_id	known_failure_modes	assumption_violations	version_authority	license_authority	command_surface_authority	output_format_authority	evidence_locator	status
clumpify	sequence_duplicate_false_positive;order_sensitive_dedup	alignment_duplicate_interpretation;unfixed_dedup_policy	configs/ci/registry/tool_registry.toml	domain/fastq/tools/clumpify.yaml	domain/fastq/tools/clumpify.yaml	domain/fastq/stages/remove_duplicates.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
cutadapt	adapter_overtrim;primer_boundary_error	unlocked_adapter_or_primer_bank;umi_after_trim_loss	configs/ci/registry/tool_registry.toml	domain/fastq/tools/cutadapt.yaml	domain/fastq/tools/cutadapt.yaml	domain/fastq/stages/trim_reads.yaml;domain/fastq/stages/normalize_primers.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
dada2	error_model_mismatch;chimera_policy_mismatch	non_amplicon_library;unfixed_pooling_policy	configs/ci/registry/tool_registry.toml	domain/fastq/tools/dada2.yaml	domain/fastq/tools/dada2.yaml	domain/fastq/stages/infer_asvs.yaml	science/docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
diamond	protein_database_drift;taxonomy_map_mismatch	unlocked_protein_database;classifier_as_qc_without_policy	configs/ci/registry/tool_registry.toml	domain/fastq/tools/diamond.yaml	domain/fastq/tools/diamond.yaml	domain/fastq/stages/screen_taxonomy.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
dustmasker	low_complexity_overmask;threshold_mismatch	unfixed_entropy_policy;motif_bank_mismatch	configs/ci/registry/tool_registry.toml	domain/fastq/tools/dustmasker.yaml	domain/fastq/tools/dustmasker.yaml	domain/fastq/stages/filter_low_complexity.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
fastp	auto_adapter_false_positive;polyx_platform_mismatch	unfixed_auto_detection;non_two_color_polyx_route	configs/ci/registry/tool_registry.toml	domain/fastq/tools/fastp.yaml	domain/fastq/tools/fastp.yaml	domain/fastq/stages/trim_reads.yaml;domain/fastq/stages/filter_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
fastq_scan	json_schema_drift;summary_metric_mismatch	interpreting_qc_summary_as_filtering;unfixed_parser_version	configs/ci/registry/tool_registry.toml	domain/fastq/tools/fastq_scan.yaml	domain/fastq/tools/fastq_scan.yaml	domain/fastq/stages/profile_reads.yaml;domain/fastq/stages/profile_overrepresented_sequences.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
fastqc	module_threshold_drift;overrepresented_sequence_context_loss	interpreting_qc_signal_as_removal;unfixed_module_policy	configs/ci/registry/tool_registry.toml	domain/fastq/tools/fastqc.yaml	domain/fastq/tools/fastqc.yaml	domain/fastq/stages/detect_adapters.yaml;domain/fastq/stages/profile_overrepresented_sequences.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
fastqvalidator	strictness_mismatch;pair_sync_policy_mismatch	validation_as_mutation;single_end_pair_assumptions	configs/ci/registry/tool_registry.toml	domain/fastq/tools/fastqvalidator.yaml	domain/fastq/tools/fastqvalidator.yaml	domain/fastq/stages/validate_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
fastuniq	pair_order_mismatch;duplicate_false_positive	single_end_input;alignment_duplicate_interpretation	configs/ci/registry/tool_registry.toml	domain/fastq/tools/fastuniq.yaml	domain/fastq/tools/fastuniq.yaml	domain/fastq/stages/remove_duplicates.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
fastx_clipper	legacy_fastq_encoding_error;adapter_overtrim	quality_encoding_mismatch;unlocked_adapter_policy	configs/ci/registry/tool_registry.toml	domain/fastq/tools/fastx_clipper.yaml	domain/fastq/tools/fastx_clipper.yaml	domain/fastq/stages/trim_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
flash2	incorrect_overlap_merge;unmerged_policy_mismatch	unsynchronized_pairs;premerged_single_end_input	configs/ci/registry/tool_registry.toml	domain/fastq/tools/flash2.yaml	domain/fastq/tools/flash2.yaml	domain/fastq/stages/merge_pairs.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
fqtools	parser_strictness_mismatch;quality_summary_drift	validation_as_mutation;unfixed_encoding_policy	configs/ci/registry/tool_registry.toml	domain/fastq/tools/fqtools.yaml	domain/fastq/tools/fqtools.yaml	domain/fastq/stages/validate_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
kaiju	protein_database_drift;taxonomy_nodes_mismatch	unlocked_taxonomy_db;dna_classifier_equivalence_assumption	configs/ci/registry/tool_registry.toml	domain/fastq/tools/kaiju.yaml	domain/fastq/tools/kaiju.yaml	domain/fastq/stages/screen_taxonomy.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
kraken2	database_taxonomy_drift;confidence_threshold_mismatch	unlocked_taxonomy_db;scientific_taxonomy_without_database_lock	configs/ci/registry/tool_registry.toml	domain/fastq/tools/kraken2.yaml	domain/fastq/tools/kraken2.yaml	domain/fastq/stages/screen_taxonomy.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
krakenuniq	database_taxonomy_drift;unique_kmer_policy_mismatch	unlocked_taxonomy_db;kraken2_equivalence_assumption	configs/ci/registry/tool_registry.toml	domain/fastq/tools/krakenuniq.yaml	domain/fastq/tools/krakenuniq.yaml	domain/fastq/stages/screen_taxonomy.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
leehom	short_insert_merge_error;adna_parameter_mismatch	modern_defaults_for_adna;unsynchronized_pairs	configs/ci/registry/tool_registry.toml	domain/fastq/tools/leehom.yaml	domain/fastq/tools/leehom.yaml	domain/fastq/stages/trim_terminal_damage.yaml;domain/fastq/stages/merge_pairs.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
lighter	coverage_model_mismatch;error_correction_false_variant	low_coverage_adna;amplicon_asv_route	configs/ci/registry/tool_registry.toml	domain/fastq/tools/lighter.yaml	domain/fastq/tools/lighter.yaml	domain/fastq/stages/correct_errors.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
multiqc	source_report_loss;module_parser_drift	aggregation_as_primary_evidence;missing_source_checksums	configs/ci/registry/tool_registry.toml	domain/fastq/tools/multiqc.yaml	domain/fastq/tools/multiqc.yaml	domain/fastq/stages/report_qc.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
musket	coverage_model_mismatch;error_correction_false_variant	low_coverage_adna;amplicon_asv_route	configs/ci/registry/tool_registry.toml	domain/fastq/tools/musket.yaml	domain/fastq/tools/musket.yaml	domain/fastq/stages/correct_errors.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
pear	incorrect_overlap_merge;unmerged_policy_mismatch	unsynchronized_pairs;premerged_single_end_input	configs/ci/registry/tool_registry.toml	domain/fastq/tools/pear.yaml	domain/fastq/tools/pear.yaml	domain/fastq/stages/merge_pairs.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
prinseq	low_complexity_threshold_mismatch;summary_metric_drift	unfixed_filter_thresholds;interpreting_profile_as_filtering	configs/ci/registry/tool_registry.toml	domain/fastq/tools/prinseq.yaml	domain/fastq/tools/prinseq.yaml	domain/fastq/stages/filter_low_complexity.yaml;domain/fastq/stages/profile_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
rcorrector	transcript_model_mismatch;error_correction_false_variant	dna_shotgun_assumption;ancient_dna_damage_route	configs/ci/registry/tool_registry.toml	domain/fastq/tools/rcorrector.yaml	domain/fastq/tools/rcorrector.yaml	domain/fastq/stages/correct_errors.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
seqfu	layout_detection_mismatch;profile_summary_drift	raw_fastq_route_without_table;planned_binding_without_runtime_closure	configs/ci/registry/tool_registry.toml	domain/fastq/tools/seqfu.yaml	domain/fastq/tools/seqfu.yaml	domain/fastq/stages/profile_read_lengths.yaml;domain/fastq/stages/profile_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
seqkit	command_surface_drift;subcommand_output_schema_mismatch	subcommand_equivalence_assumption;unfixed_filter_policy	configs/ci/registry/tool_registry.toml	domain/fastq/tools/seqkit.yaml	domain/fastq/tools/seqkit.yaml	domain/fastq/stages/filter_reads.yaml;domain/fastq/stages/profile_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
seqkit_stats	stats_subcommand_schema_drift;histogram_policy_mismatch	stats_as_filtering;unfixed_parser_version	configs/ci/registry/tool_registry.toml	domain/fastq/tools/seqkit_stats.yaml	domain/fastq/tools/seqkit_stats.yaml	domain/fastq/stages/profile_read_lengths.yaml;domain/fastq/stages/profile_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
seqpurge	adapter_overtrim;merge_policy_mismatch	planned_binding_without_runtime_closure;unlocked_adapter_policy	configs/ci/registry/tool_registry.toml	domain/fastq/tools/seqpurge.yaml	domain/fastq/tools/seqpurge.yaml	domain/fastq/stages/trim_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
seqtk	sampling_seed_mismatch;layout_conversion_loss	unfixed_seed;header_rewrite_without_map	configs/ci/registry/tool_registry.toml	domain/fastq/tools/seqtk.yaml	domain/fastq/tools/seqtk.yaml	domain/fastq/stages/validate_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
skewer	adapter_overtrim;paired_mode_mismatch	unlocked_adapter_policy;unsynchronized_pairs	configs/ci/registry/tool_registry.toml	domain/fastq/tools/skewer.yaml	domain/fastq/tools/skewer.yaml	domain/fastq/stages/trim_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
sortmerna	rrna_database_drift;alignment_threshold_mismatch	unlocked_rrna_db;rRNA_signal_is_target	configs/ci/registry/tool_registry.toml	domain/fastq/tools/sortmerna.yaml	domain/fastq/tools/sortmerna.yaml	domain/fastq/stages/deplete_rrna.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
star	index_backend_mismatch;reference_digest_mismatch	unlocked_reference_source;downstream_mapper_mismatch	configs/ci/registry/tool_registry.toml	domain/fastq/tools/star.yaml	domain/fastq/tools/star.yaml	domain/fastq/stages/index_reference.yaml	science/docs/upstream/github-repos/MANIFEST.tsv	tracked
trim_galore	wrapper_version_drift;adapter_overtrim	cutadapt_fastqc_surface_mismatch;unlocked_adapter_policy	configs/ci/registry/tool_registry.toml	domain/fastq/tools/trim_galore.yaml	domain/fastq/tools/trim_galore.yaml	domain/fastq/stages/trim_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
trimmomatic	adapter_overtrim;sliding_window_policy_mismatch	unlocked_adapter_policy;quality_policy_mismatch	configs/ci/registry/tool_registry.toml	domain/fastq/tools/trimmomatic.yaml	domain/fastq/tools/trimmomatic.yaml	domain/fastq/stages/trim_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
umi_tools	umi_pattern_mismatch;barcode_extraction_position_error	trim_before_umi_extraction;unlocked_umi_pattern_pack	configs/ci/registry/tool_registry.toml	domain/fastq/tools/umi_tools.yaml	domain/fastq/tools/umi_tools.yaml	domain/fastq/stages/extract_umis.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
vsearch	chimera_policy_mismatch;otu_threshold_mismatch	non_amplicon_library;ASV_OTU_equivalence_assumption	configs/ci/registry/tool_registry.toml	domain/fastq/tools/vsearch.yaml	domain/fastq/tools/vsearch.yaml	domain/fastq/stages/remove_chimeras.yaml;domain/fastq/stages/cluster_otus.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
