stage_id	tool_id	decision_mode	correctness_signal	result_ids	report_row_ids	corpus_ids	report_sections	row_statuses	score_status	truth_correctness_score	truth_correctness_basis	contract_correctness_score	contract_correctness_basis	retained_reads	dropped_reads	alignment_qc_metric_value	alignment_qc_metric_basis	coverage_metric_value	coverage_metric_basis	damage_metric_value	damage_metric_basis	authenticity_metric_value	authenticity_metric_basis	scientific_metric_ids	scientific_metric_summary	runtime_seconds	runtime_source	observed_memory_mb	declared_memory_mb	memory_source	failure_class	micro_execution_status	score_weight_coverage	score_total	evidence_paths	reason
bam.filter	bamtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.filter:sample-set:bamtools	bam:corpus-01-bam-mini:bam.filter:sample-set:bamtools	corpus-01-bam-mini	alignment_refinement	present	insufficient_evidence															input_reads,kept_reads,removed_reads			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.filter` / `bamtools`
bam.filter	bedtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.filter:sample-set:bedtools	bam:corpus-01-bam-mini:bam.filter:sample-set:bedtools	corpus-01-bam-mini	alignment_refinement	present	insufficient_evidence															input_reads,kept_reads,removed_reads			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.filter` / `bedtools`
bam.filter	samtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.filter:sample-set:samtools	bam:corpus-01-bam-mini:bam.filter:sample-set:samtools	corpus-01-bam-mini	alignment_refinement	present	scored	0.200000	kept_fraction	1.000000	filter smoke report preserved governed kept and removed read counts	1	4	0.200000	kept_fraction							input_reads,kept_reads,removed_reads	input_reads=5; kept_reads=1; removed_reads=4; active_filters=mapq_threshold,exclude_flags,min_length,remove_duplicates		not_available		2048.000000	declared_stage_tool_resource	none	succeeded	0.850000	0.435294	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.filter/filter_metrics.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
bam.gc_bias	picard	single_tool_acceptance	output_contract	bam:corpus-01-bam-mini:bam.gc_bias:sample-set:picard	bam:corpus-01-bam-mini:bam.gc_bias:sample-set:picard	corpus-01-bam-mini	coverage_quality	present	scored			1.000000	GC bias TSV preserved governed normalized coverage and window surfaces												mean_abs_normalized_coverage_deviation=0.333333; gc_bin_count=3		not_available			not_available	none		0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.gc_bias/gc_bias.tsv	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
bam.genotyping	angsd	single_tool_acceptance	output_contract	bam:corpus-01-genotyping-mini:bam.genotyping:human_like_genotyping_candidate_panel:angsd	bam:corpus-01-genotyping-mini:bam.genotyping:human_like_genotyping_candidate_panel:angsd	corpus-01-genotyping-mini	downstream_readiness	present	insufficient_evidence																		not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.genotyping` / `angsd`
bam.haplogroups	yleaf	single_tool_acceptance	output_contract	bam:corpus-01-adna-bam-mini:bam.haplogroups:sample-set:yleaf	bam:corpus-01-adna-bam-mini:bam.haplogroups:sample-set:yleaf	corpus-01-adna-bam-mini	sample_identity	present	scored			1.000000	haplogroup smoke report preserved governed call and marker support surfaces									1.000000	confidence		haplogroup_call=R1b1a; markers_supported=2; markers_total=2; status=ready		not_available			not_available	none		0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.haplogroups/haplogroups.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
bam.insert_size	picard	single_tool_acceptance	output_contract	bam:corpus-01-bam-mini:bam.insert_size:sample-set:picard	bam:corpus-01-bam-mini:bam.insert_size:sample-set:picard	corpus-01-bam-mini	coverage_quality	present	scored			1.000000	insert size report preserved governed distribution summary outputs												read_pairs=3; mean_insert_size=21.666667; median_insert_size=20.000000		not_available		2048.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.insert_size/insert_size.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
bam.kinship	angsd	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-kinship-mini:bam.kinship:sample-set:angsd	bam:corpus-01-kinship-mini:bam.kinship:sample-set:angsd	corpus-01-kinship-mini	sample_identity	present	insufficient_evidence															observed_max_overlap_snps,pair_count,pairwise_results,status			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.kinship` / `angsd`
bam.kinship	king	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-kinship-mini:bam.kinship:sample-set:king	bam:corpus-01-kinship-mini:bam.kinship:sample-set:king	corpus-01-kinship-mini	sample_identity	present	scored	0.833333	max_pairwise_concordance	1.000000	kinship smoke report preserved governed pairwise relationship outputs											observed_max_overlap_snps,pair_count,pairwise_results,status	pair_count=1; observed_max_overlap_snps=6; status=ok; concordance=0.833333		not_applicable			not_applicable	none	container_needed	0.750000	0.866666	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.kinship/kinship.json	scored from 1 real evidence surface(s) with micro execution status `container_needed` and memory source `not_applicable`
bam.length_filter	picard	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.length_filter:sample-set:picard	bam:corpus-01-bam-mini:bam.length_filter:sample-set:picard	corpus-01-bam-mini	alignment_refinement	present	insufficient_evidence															kept_reads,min_length_threshold,removed_reads			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.length_filter` / `picard`
bam.length_filter	samtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.length_filter:sample-set:samtools	bam:corpus-01-bam-mini:bam.length_filter:sample-set:samtools	corpus-01-bam-mini	alignment_refinement	present	scored	0.750000	kept_fraction	1.000000	length filter report preserved governed retained and removed read counts	3	1	0.750000	kept_fraction							kept_reads,min_length_threshold,removed_reads	kept_reads=3; removed_reads=1; min_length_threshold=8		not_available			not_available	none		0.750000	0.800000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.length_filter/length_filter.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
bam.mapping_summary	picard	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.mapping_summary:sample-set:picard	bam:corpus-01-bam-mini:bam.mapping_summary:sample-set:picard	corpus-01-bam-mini	alignment_intake	present	insufficient_evidence															mapped_reads,mapping_fraction,secondary_reads,supplementary_reads,unmapped_reads			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.mapping_summary` / `picard`
bam.mapping_summary	samtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.mapping_summary:sample-set:samtools	bam:corpus-01-bam-mini:bam.mapping_summary:sample-set:samtools	corpus-01-bam-mini	alignment_intake	present	scored	0.666667	mapping_fraction	1.000000	mapping summary TSV preserved governed mapped and unmapped count surfaces	3		0.666667	mapping_fraction							mapped_reads,mapping_fraction,secondary_reads,supplementary_reads,unmapped_reads	mapped_reads=2; unmapped_reads=1; secondary_reads=0; supplementary_reads=0		not_available		2048.000000	declared_stage_tool_resource	none	succeeded	0.850000	0.764706	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.mapping_summary/mapping_summary.tsv	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
bam.mapq_filter	bamtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.mapq_filter:sample-set:bamtools	bam:corpus-01-bam-mini:bam.mapq_filter:sample-set:bamtools	corpus-01-bam-mini	alignment_refinement	present	insufficient_evidence															kept_reads,mapq_threshold,removed_reads			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.mapq_filter` / `bamtools`
bam.mapq_filter	samtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.mapq_filter:sample-set:samtools	bam:corpus-01-bam-mini:bam.mapq_filter:sample-set:samtools	corpus-01-bam-mini	alignment_refinement	present	scored	0.750000	kept_fraction	1.000000	mapq filter report preserved governed retained and removed read counts	3	1	0.666667	mapped_fraction_retained							kept_reads,mapq_threshold,removed_reads	kept_reads=3; removed_reads=1; mapq_threshold=30; mapped_fraction_retained=0.666667		not_available			not_available	none		0.750000	0.800000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.mapq_filter/mapq_filter.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
bam.markdup	picard	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.markdup:sample-set:picard	bam:corpus-01-bam-mini:bam.markdup:sample-set:picard	corpus-01-bam-mini	library_complexity	present	insufficient_evidence															duplicate_count,duplicate_fraction			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.markdup` / `picard`
bam.markdup	samtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.markdup:sample-set:samtools	bam:corpus-01-bam-mini:bam.markdup:sample-set:samtools	corpus-01-bam-mini	library_complexity	present	scored	0.750000	one_minus_duplicate_fraction	1.000000	markdup smoke report preserved governed duplicate marking outputs	4	0	0.750000	one_minus_duplicate_fraction							duplicate_count,duplicate_fraction	duplicate_count=1; duplicate_fraction=0.250000		not_available		2048.000000	declared_stage_tool_resource	none	succeeded	0.850000	0.823529	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.markdup/duplicates.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
bam.overlap_correction	bamutil	single_tool_acceptance	output_contract	bam:corpus-01-bam-mini:bam.overlap_correction:sample-set:bamutil	bam:corpus-01-bam-mini:bam.overlap_correction:sample-set:bamutil	corpus-01-bam-mini	alignment_refinement	present	scored			1.000000	overlap correction report preserved governed corrected pair outputs	2											pair_count=2; corrected_pairs=1; corrected_overlap_bases=7		not_available		2048.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.overlap_correction/overlap_correction.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
bam.qc_pre	multiqc	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.qc_pre:sample-set:multiqc	bam:corpus-01-bam-mini:bam.qc_pre:sample-set:multiqc	corpus-01-bam-mini	alignment_intake	present	scored	1.000000	mapped_fraction	1.000000	pre-QC smoke report preserved governed mapping and duplicate surfaces	3		1.000000	mapped_fraction							duplicate_flagged_reads,mapped_reads,total_reads,unmapped_reads	mapped_reads=3; unmapped_reads=0; duplicate_flagged_reads=1		not_available			not_available	none		0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.qc_pre/qc_pre.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
bam.qc_pre	samtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.qc_pre:sample-set:samtools	bam:corpus-01-bam-mini:bam.qc_pre:sample-set:samtools	corpus-01-bam-mini	alignment_intake	present	scored	1.000000	mapped_fraction	1.000000	pre-QC smoke report preserved governed mapping and duplicate surfaces	3		1.000000	mapped_fraction							duplicate_flagged_reads,mapped_reads,total_reads,unmapped_reads	mapped_reads=3; unmapped_reads=0; duplicate_flagged_reads=1		not_available		2048.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.qc_pre/qc_pre.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
bam.recalibration	gatk	single_tool_acceptance	output_contract	bam:corpus-01-bam-mini:bam.recalibration:sample-set:gatk	bam:corpus-01-bam-mini:bam.recalibration:sample-set:gatk	corpus-01-bam-mini	downstream_readiness	present	scored			1.000000	recalibration smoke report preserved governed recalibrated BAM and report outputs					0.192000	observed_mean_coverage						status=skipped; observed_mean_coverage=0.192000; observed_breadth_1x=0.192000		not_available		2048.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.recalibration/recalibration.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
bam.sex	angsd	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-bam-mini:bam.sex:sample-set:angsd	bam:corpus-01-adna-bam-mini:bam.sex:sample-set:angsd	corpus-01-adna-bam-mini	sample_identity	present	scored	0.900000	confidence	1.000000	sex tool smoke report preserved governed call, confidence, and coverage surfaces											autosomal_coverage,call,confidence,status,x_coverage,y_coverage	call=male; status=ok; x_coverage=0.500000; y_coverage=0.500000; autosomal_coverage=1.000000		not_available			not_available	none		0.750000	0.920000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.sex/tool_smoke.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
bam.sex	rxy	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-bam-mini:bam.sex:sample-set:rxy	bam:corpus-01-adna-bam-mini:bam.sex:sample-set:rxy	corpus-01-adna-bam-mini	sample_identity	present	scored	0.900000	confidence	1.000000	sex tool smoke report preserved governed call, confidence, and coverage surfaces											autosomal_coverage,call,confidence,status,x_coverage,y_coverage	call=male; status=ok; x_coverage=0.500000; y_coverage=0.500000; autosomal_coverage=1.000000		not_available		2048.000000	declared_stage_tool_resource	none	succeeded	0.850000	0.929412	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.sex/tool_smoke.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
